2026-03-10 22:31:53 status unpacked gnupg1:amd64 1.4.23-3
2026-03-10 22:31:53 status half-configured gnupg1:amd64 1.4.23-3
2026-03-10 22:31:53 status installed gnupg1:amd64 1.4.23-3
2026-03-10 22:31:53 trigproc libc-bin:amd64 2.41-12+deb13u1 <none>
2026-03-10 22:31:53 status half-configured libc-bin:amd64 2.41-12+deb13u1
2026-03-10 22:31:53 status installed libc-bin:amd64 2.41-12+deb13u1
2026-03-10 22:31:53 trigproc ca-certificates:all 20250419 <none>
2026-03-10 22:31:53 status half-configured ca-certificates:all 20250419
2026-03-10 22:31:53 status installed ca-certificates:all 20250419
2026-03-10 22:31:55 startup packages remove
2026-03-10 22:31:55 status installed gnupg1:amd64 1.4.23-3
2026-03-10 22:31:55 remove gnupg1:amd64 1.4.23-3 <none>
2026-03-10 22:31:55 status half-configured gnupg1:amd64 1.4.23-3
2026-03-10 22:31:55 status half-installed gnupg1:amd64 1.4.23-3
2026-03-10 22:31:55 status config-files gnupg1:amd64 1.4.23-3
2026-03-10 22:31:55 status not-installed gnupg1:amd64 <none>
2026-03-10 22:31:55 status installed gpgv:amd64 2.4.7-21+deb13u1+b1
2026-03-10 22:31:55 remove gpgv:amd64 2.4.7-21+deb13u1+b1 <none>
2026-03-10 22:31:55 status half-configured gpgv:amd64 2.4.7-21+deb13u1+b1
2026-03-10 22:31:55 status half-installed gpgv:amd64 2.4.7-21+deb13u1+b1
2026-03-10 22:31:55 status config-files gpgv:amd64 2.4.7-21+deb13u1+b1
2026-03-10 22:31:55 status not-installed gpgv:amd64 <none>
2026-03-10 22:31:55 status installed libcurl3t64-gnutls:amd64 8.14.1-2+deb13u2
2026-03-10 22:31:55 remove libcurl3t64-gnutls:amd64 8.14.1-2+deb13u2 <none>
2026-03-10 22:31:55 status triggers-pending libc-bin:amd64 2.41-12+deb13u1
2026-03-10 22:31:55 status half-configured libcurl3t64-gnutls:amd64 8.14.1-2+deb13u2
2026-03-10 22:31:55 status half-installed libcurl3t64-gnutls:amd64 8.14.1-2+deb13u2
2026-03-10 22:31:55 status config-files libcurl3t64-gnutls:amd64 8.14.1-2+deb13u2
2026-03-10 22:31:55 status not-installed libcurl3t64-gnutls:amd64 <none>
2026-03-10 22:31:55 status installed libbrotli1:amd64 1.1.0-2+b7
2026-03-10 22:31:55 remove libbrotli1:amd64 1.1.0-2+b7 <none>
2026-03-10 22:31:55 status half-configured libbrotli1:amd64 1.1.0-2+b7
2026-03-10 22:31:55 status half-installed libbrotli1:amd64 1.1.0-2+b7
2026-03-10 22:31:55 status config-files libbrotli1:amd64 1.1.0-2+b7
2026-03-10 22:31:55 status not-installed libbrotli1:amd64 <none>
2026-03-10 22:31:55 status installed libgssapi-krb5-2:amd64 1.21.3-5
2026-03-10 22:31:55 remove libgssapi-krb5-2:amd64 1.21.3-5 <none>
2026-03-10 22:31:55 status half-configured libgssapi-krb5-2:amd64 1.21.3-5
2026-03-10 22:31:55 status half-installed libgssapi-krb5-2:amd64 1.21.3-5
2026-03-10 22:31:55 status config-files libgssapi-krb5-2:amd64 1.21.3-5
2026-03-10 22:31:55 status installed libkrb5-3:amd64 1.21.3-5
2026-03-10 22:31:55 remove libkrb5-3:amd64 1.21.3-5 <none>
2026-03-10 22:31:55 status half-configured libkrb5-3:amd64 1.21.3-5
2026-03-10 22:31:55 status half-installed libkrb5-3:amd64 1.21.3-5
2026-03-10 22:31:55 status config-files libkrb5-3:amd64 1.21.3-5
2026-03-10 22:31:55 status not-installed libkrb5-3:amd64 <none>
2026-03-10 22:31:55 status installed libcom-err2:amd64 1.47.2-3+b7
2026-03-10 22:31:55 remove libcom-err2:amd64 1.47.2-3+b7 <none>
2026-03-10 22:31:55 status half-configured libcom-err2:amd64 1.47.2-3+b7
2026-03-10 22:31:55 status half-installed libcom-err2:amd64 1.47.2-3+b7
2026-03-10 22:31:55 status config-files libcom-err2:amd64 1.47.2-3+b7
2026-03-10 22:31:55 status not-installed libcom-err2:amd64 <none>
2026-03-10 22:31:55 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b5
2026-03-10 22:31:55 remove librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b5 <none>
2026-03-10 22:31:55 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b5
2026-03-10 22:31:55 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b5
2026-03-10 22:31:55 status config-files librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b5
2026-03-10 22:31:55 status not-installed librtmp1:amd64 <none>
2026-03-10 22:31:55 status installed libngtcp2-crypto-gnutls8:amd64 1.11.0-1
2026-03-10 22:31:55 remove libngtcp2-crypto-gnutls8:amd64 1.11.0-1 <none>
2026-03-10 22:31:55 status half-configured libngtcp2-crypto-gnutls8:amd64 1.11.0-1
2026-03-10 22:31:55 status half-installed libngtcp2-crypto-gnutls8:amd64 1.11.0-1
2026-03-10 22:31:55 status config-files libngtcp2-crypto-gnutls8:amd64 1.11.0-1
2026-03-10 22:31:55 status not-installed libngtcp2-crypto-gnutls8:amd64 <none>
2026-03-10 22:31:55 status installed libgnutls30t64:amd64 3.8.9-3+deb13u2
2026-03-10 22:31:55 remove libgnutls30t64:amd64 3.8.9-3+deb13u2 <none>
2026-03-10 22:31:55 status half-configured libgnutls30t64:amd64 3.8.9-3+deb13u2
2026-03-10 22:31:55 status half-installed libgnutls30t64:amd64 3.8.9-3+deb13u2
2026-03-10 22:31:55 status config-files libgnutls30t64:amd64 3.8.9-3+deb13u2
2026-03-10 22:31:55 status not-installed libgnutls30t64:amd64 <none>
2026-03-10 22:31:55 status installed libp11-kit0:amd64 0.25.5-3
2026-03-10 22:31:55 remove libp11-kit0:amd64 0.25.5-3 <none>
2026-03-10 22:31:55 status half-configured libp11-kit0:amd64 0.25.5-3
2026-03-10 22:31:55 status half-installed libp11-kit0:amd64 0.25.5-3
2026-03-10 22:31:55 status config-files libp11-kit0:amd64 0.25.5-3
2026-03-10 22:31:55 status not-installed libp11-kit0:amd64 <none>
2026-03-10 22:31:55 status installed libffi8:amd64 3.4.8-2
2026-03-10 22:31:55 remove libffi8:amd64 3.4.8-2 <none>
2026-03-10 22:31:55 status half-configured libffi8:amd64 3.4.8-2
2026-03-10 22:31:55 status half-installed libffi8:amd64 3.4.8-2
2026-03-10 22:31:55 status config-files libffi8:amd64 3.4.8-2
2026-03-10 22:31:55 status not-installed libffi8:amd64 <none>
2026-03-10 22:31:55 status installed libgcrypt20:amd64 1.11.0-7
2026-03-10 22:31:55 remove libgcrypt20:amd64 1.11.0-7 <none>
2026-03-10 22:31:55 status half-configured libgcrypt20:amd64 1.11.0-7
2026-03-10 22:31:55 status half-installed libgcrypt20:amd64 1.11.0-7
2026-03-10 22:31:55 status config-files libgcrypt20:amd64 1.11.0-7
2026-03-10 22:31:56 status not-installed libgcrypt20:amd64 <none>
2026-03-10 22:31:56 status installed libgpg-error0:amd64 1.51-4
2026-03-10 22:31:56 remove libgpg-error0:amd64 1.51-4 <none>
2026-03-10 22:31:56 status half-configured libgpg-error0:amd64 1.51-4
2026-03-10 22:31:56 status half-installed libgpg-error0:amd64 1.51-4
2026-03-10 22:31:56 status config-files libgpg-error0:amd64 1.51-4
2026-03-10 22:31:56 status not-installed libgpg-error0:amd64 <none>
2026-03-10 22:31:56 status installed libk5crypto3:amd64 1.21.3-5
2026-03-10 22:31:56 remove libk5crypto3:amd64 1.21.3-5 <none>
2026-03-10 22:31:56 status half-configured libk5crypto3:amd64 1.21.3-5
2026-03-10 22:31:56 status half-installed libk5crypto3:amd64 1.21.3-5
2026-03-10 22:31:56 status config-files libk5crypto3:amd64 1.21.3-5
2026-03-10 22:31:56 status not-installed libk5crypto3:amd64 <none>
2026-03-10 22:31:56 status installed libkeyutils1:amd64 1.6.3-6
2026-03-10 22:31:56 remove libkeyutils1:amd64 1.6.3-6 <none>
2026-03-10 22:31:56 status half-configured libkeyutils1:amd64 1.6.3-6
2026-03-10 22:31:56 status half-installed libkeyutils1:amd64 1.6.3-6
2026-03-10 22:31:56 status config-files libkeyutils1:amd64 1.6.3-6
2026-03-10 22:31:56 status not-installed libkeyutils1:amd64 <none>
2026-03-10 22:31:56 status installed libkrb5support0:amd64 1.21.3-5
2026-03-10 22:31:56 remove libkrb5support0:amd64 1.21.3-5 <none>
2026-03-10 22:31:56 status half-configured libkrb5support0:amd64 1.21.3-5
2026-03-10 22:31:56 status half-installed libkrb5support0:amd64 1.21.3-5
2026-03-10 22:31:56 status config-files libkrb5support0:amd64 1.21.3-5
2026-03-10 22:31:56 status not-installed libkrb5support0:amd64 <none>
2026-03-10 22:31:56 status installed libldap2:amd64 2.6.10+dfsg-1
2026-03-10 22:31:56 remove libldap2:amd64 2.6.10+dfsg-1 <none>
2026-03-10 22:31:56 status half-configured libldap2:amd64 2.6.10+dfsg-1
2026-03-10 22:31:56 status half-installed libldap2:amd64 2.6.10+dfsg-1
2026-03-10 22:31:56 status config-files libldap2:amd64 2.6.10+dfsg-1
2026-03-10 22:31:56 status not-installed libldap2:amd64 <none>
2026-03-10 22:31:56 status installed libnghttp2-14:amd64 1.64.0-1.1
2026-03-10 22:31:56 remove libnghttp2-14:amd64 1.64.0-1.1 <none>
2026-03-10 22:31:56 status half-configured libnghttp2-14:amd64 1.64.0-1.1
2026-03-10 22:31:56 status half-installed libnghttp2-14:amd64 1.64.0-1.1
2026-03-10 22:31:56 status config-files libnghttp2-14:amd64 1.64.0-1.1
2026-03-10 22:31:56 status not-installed libnghttp2-14:amd64 <none>
2026-03-10 22:31:56 status installed libnghttp3-9:amd64 1.8.0-1
2026-03-10 22:31:56 remove libnghttp3-9:amd64 1.8.0-1 <none>
2026-03-10 22:31:56 status half-configured libnghttp3-9:amd64 1.8.0-1
2026-03-10 22:31:56 status half-installed libnghttp3-9:amd64 1.8.0-1
2026-03-10 22:31:56 status config-files libnghttp3-9:amd64 1.8.0-1
2026-03-10 22:31:56 status not-installed libnghttp3-9:amd64 <none>
2026-03-10 22:31:56 status installed libngtcp2-16:amd64 1.11.0-1
